provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
google,gemini-2.0-flash-lite-001,100.0,99.0,99.0,94.0,90.0,80.5
google,gemini-2.0-flash-001,52.0,16.0,21.0,20.5,2.5,1.0
openai,gpt-4.1-nano-2025-04-14,31.0,1.0,2.0,0.0,0.0,0.0
