provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
openai,o3-mini-2025-01-31,98.4,97.9,98.2,97.4,96.7,95.1
google,gemini-2.5-flash-preview-04-17,89.3,75.6,61.2,44.0,41.3,37.6
openai,o4-mini-2025-04-16,84.7,79.8,82.4,83.8,83.4,88.1
