provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
openai,o3-mini-2025-01-31,100.0,100.0,100.0,99.0,100.0,100.0
openai,o4-mini-2025-04-16,98.0,97.0,95.0,94.5,90.0,94.5
google,gemini-2.5-flash-preview-04-17,95.0,81.0,71.5,57.0,58.0,55.5
