provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
google,gemini-2.0-flash-001,68.0,49.0,43.5,37.5,31.5,29.5
openai,gpt-4o-mini-2024-07-18,68.0,48.0,45.0,39.0,31.0,29.0
openai,gpt-4.1-nano-2025-04-14,67.0,49.0,45.5,39.0,30.5,29.5
google,gemini-2.0-flash-lite-001,56.0,31.0,35.5,24.5,22.5,23.5
openai,gpt-4.1-mini-2025-04-14,49.0,27.0,34.5,32.5,25.5,22.5
openai,gpt-3.5-turbo-instruct,45.0,31.0,23.5,16.0,13.5,14.0
