provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
openai,o4-mini-2025-04-16,94.0,88.0,83.5,81.0,66.5,65.0
openai,o3-mini-2025-01-31,80.0,67.0,71.0,64.5,49.0,43.0
