provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
google,gemini-2.0-flash-lite-001,66.0,41.0,33.5,29.0,22.0,24.0
google,gemini-2.0-flash-001,66.0,34.0,33.0,31.5,31.0,26.5
openai,gpt-4.1-nano-2025-04-14,60.0,44.0,31.5,32.5,24.0,28.5
