provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
google,gemini-2.0-flash-lite-001,100.0,98.0,99.0,99.5,99.0,98.5
openai,gpt-4o-mini-2024-07-18,99.0,96.0,97.5,98.0,99.5,98.0
google,gemini-2.0-flash-001,98.0,99.0,98.5,99.5,100.0,99.5
openai,gpt-4.1-mini-2025-04-14,98.0,95.0,97.0,98.5,99.5,98.5
openai,gpt-4.1-nano-2025-04-14,94.0,95.0,95.5,99.0,99.0,97.5
