provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
openai,o3-2025-04-16,93.0,98.0,96.5,97.0,97.0,94.0
openai,o3-mini-2025-01-31,73.0,75.0,75.5,66.0,65.0,51.0
openai,o4-mini-2025-04-16,35.0,21.0,22.0,25.5,30.5,31.5
