provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
openai,o3-mini-2025-01-31,100.0,100.0,98.0,99.0,98.5,98.5
openai,o4-mini-2025-04-16,95.0,84.0,83.5,87.0,88.0,93.0
google,gemini-2.5-flash-preview-04-17,89.0,65.0,53.0,49.0,56.0,55.5
