provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
google,gemini-2.0-flash-001,94.0,87.0,83.0,87.0,96.0,99.5
google,gemini-2.0-flash-lite-001,93.0,71.0,63.0,80.5,89.0,96.5
