provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
openai,o3-2025-04-16,93.0,95.0,95.0,95.0,95.0,93.0
openai,o3-mini-2025-01-31,62.0,48.0,46.5,29.5,23.0,12.0
openai,o4-mini-2025-04-16,33.0,21.0,19.0,21.5,25.5,28.5
