provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
google,gemini-2.0-flash-001,97.3,93.5,91.6,88.3,84.0,75.5
google,gemini-2.0-flash-lite-001,96.5,92.9,88.0,79.9,73.1,76.6
openai,gpt-4.1-2025-04-14,94.9,85.3,72.9,64.9,62.3,55.5
deepseek,deepseek-chat,93.5,83.4,72.8,67.9,65.5,65.3
openai,gpt-4.1-mini-2025-04-14,90.4,78.9,69.2,62.4,59.1,55.7
openai,gpt-4.1-nano-2025-04-14,78.8,66.7,57.9,54.9,50.6,44.8
