provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
google,gemini-2.0-flash-001,27.0,4.0,0.0,0.0,0.0,0.0
google,gemini-2.0-flash-lite-001,17.0,0.0,0.0,0.0,0.0,0.0
openai,gpt-4.1-mini-2025-04-14,10.0,0.0,0.0,0.0,0.0,0.0
openai,gpt-4.1-nano-2025-04-14,1.0,0.0,0.0,0.0,0.0,0.0
openai,gpt-4o-mini-2024-07-18,0.0,0.0,0.0,0.0,0.0,0.0
