provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
google,gemini-2.0-flash-001,64.0,62.0,61.5,59.5,73.5,70.0
google,gemini-2.0-flash-lite-001,57.0,57.0,50.5,49.5,51.0,51.0
openai,gpt-4.1-nano-2025-04-14,45.0,46.0,46.5,50.0,51.0,50.0
