provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
google,gemini-2.0-flash-lite-001,58.0,52.0,57.5,52.5,52.5,54.0
google,gemini-2.0-flash-001,51.0,50.0,55.0,53.0,50.5,50.5
openai,gpt-4.1-nano-2025-04-14,49.0,50.0,50.5,49.5,49.0,49.5
