provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
openai,o3-mini-2025-01-31,94.0,97.0,96.5,98.5,98.0,96.0
openai,o4-mini-2025-04-16,85.0,88.0,82.5,83.5,75.5,75.0
