provider,model,0-10 moves,11-20 moves,21-40 moves,41-60 moves,61-80 moves,81-100 moves
openai,o3-mini-2025-01-31,96.0,89.0,90.5,93.5,97.0,93.0
openai,o4-mini-2025-04-16,94.0,84.0,76.5,73.0,60.0,54.0
